No,Destination Name,Regency,Category,Rating,Location,Child Entry,Adults Entry,Image Link,Information
11,Sangeh Monkey Forest,Badung,Wildlife,4.6,https://maps.app.goo.gl/Z8eyDde75eixNxWf7,"Rp30,000","Rp75,000",https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F11_sangeh_monkey_forest.jpg?alt=media&token=dd320078-8bc1-4737-9e6a-bd8f7a4e6551,"	Sangeh Monkey Forest is a small tropical rain forest surrounded by the rice field with high and shady tropical trees where this place as a habitat for group of monkeys. The atmosphere of beautiful forest is an ideal place for monkeys to take refuge and become one of attractions for tourist to visit this place. This are has bee opened as a tourist destination in Bali located in north of Denpasar City and about 30 minutes away from this capital city of Bali Province.
	The species of monkeys live in Sangeh are Macaca fascicularis. Those monkeys are living in three different groups (east, middle and west) which will cause of conflict if they invade the other territorial. Overall, the animals live in this forest have been indentified into 22 species of birth (aves), 3 species of reptile, 2 species of amphibian and 5 species of arthropod."
12,Sanur Beach,Denpasar,Beach,4.5,https://maps.app.goo.gl/jCWBqPgJ7wvGxeYY8,,,https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F12_sanur-beach.jpg?alt=media&token=eb4394ee-a870-41c9-b46b-f5fc0acbe841,"        Sanur Beach Bali is a beautiful white sandy beach situated on the east side of Denpasar City and become one of the famous tourist destinations on Bali Island. Sanur Beach has been famous since the Dutch colonial and now it has been much developed to serve every guest what to stay in this area. As a favorite place, Sanur Beach is well-appointed as access to surf points located inshore break featured by the great waves for surf adventures.
        The seawater at the coastal is calm and suitable for swimming and the beach itself is featured by the white sand with a peaceful atmosphere surrounding it that makes it an ideal place for relaxation and recreation. For those reasons, Sanur Beach is many visited by foreign and domestic tourists. The waves at the shore break are great, powerful, and fast those give more challenges for every surfer to conquer it and enjoy the surf adventures. This short break has been a favorite surf point on the island of god where many surfers have tried and experienced the exciting adventure of surfing here."
13,Bajra Sandhi Monument,Denpasar,Historical Landmark,4.6,"https://www.google.com/maps/place/Bajra+Sandhi+Monument/@-8.6717348,115.233902,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd240f5b0baad2f:0xf67150ab4e009a2c!8m2!3d-8.6717348!4d115.233902!16s%2Fm%2F0n45qhz?authuser=0&hl=en","Rp15,000","Rp30,000",https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F13_Bajra_Sandhi.jpg?alt=media&token=1903b95c-2135-46ce-ad47-c73c069fc5c4,"	Bajra Sandhi Monument is a monument to commemorate the Balinese struggle against Dutch colonialism that is replicated in a beautiful and artistic building designed by Balinese architecture in form of Bajra (bell) which is usually used by Hindu’s priest chanting the Vedic  (Mantra) in every religious ceremony. Bajra Sandhi Monument was built in 1987 that is inaugurated by the President of Indonesia at that time, Mrs. Megawati Soekarno Putri on June 14, 2003. The purpose of monument is to devote the soul and spirit of Balinese people struggle as well as digging, maintain, develop and preserve the Balinese cultures to bequeath to future generations as a capital move forward and tread the world that is filled by challenges and obstacles.
	Bajra Sandhi Monument contains 33 dioramas describing the history of the prehistoric (300,000 BC) that the humans are still moving and highly depends on the nature until the independence era (1950 – 1975)where the development of Bali are covering all aspects such as political, economic and social cultures. After knowing and understanding the course of history, soul and spirit of Balinese people struggle from time to time can be expected to strengthen the culture identity and more over the tourism in Bali was developed as a Culture Tourism so as not eroded by globalization forces. During its development, Bajra Sandhi becomes more famous and established as tourist destination in Denpasar Bali and many visited by tourist every day."
14,Bali Art Centre,Denpasar,Culture,4.6,https://maps.app.goo.gl/XHTMJHPnSd7wZu4p8,,,https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F14_art_center.png?alt=media&token=7232384c-a5f6-41dd-8c67-700d305dd3a5,"	The Bali Art Centre, or Werdhi Budaya Art Centre, is a cultural edifice that beautifully showcases traditional Balinese architecture. This complex boasts an impressive layout, featuring a theatre designed to serve as a versatile venue for various performance purposes. The amphitheatre symbolizes the majestic Mandara Giri mount’s twiddling in the milk ocean, evoking the imagery of spattering Amerta holy water—a representation of the enduring vitality of dynamic culture. This symbolism aligns with the inherent nature of Balinese culture, which thrives as long as humanity continues to inhabit the Earth.
	Capable of accommodating up to 6,000 spectators, the theatre serves as a stage for colossal performances, seamlessly blending modern and traditional artistic expressions. The government inaugurated Taman Budaya, or the Cultural Park, in 1973, coinciding with the Bali Artistry Party (Pesta Kesenian Bali), held within the first month of its opening. This cultural hub is a testament to Bali’s commitment to preserving and celebrating its rich artistic heritage for locals and visitors alike."
15,Pasar Badung,Denpasar,Culture,4.5,https://maps.app.goo.gl/iXjNvFMqNMqsTkEA6,,,https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F15_pasar-badung-denpasar-bali.jpg?alt=media&token=8b39eb40-d89d-4f7f-9052-36e017ae4d4f,"	Badung Traditional Market is a center of town’s economics which is located in Gajah Mada Street, that is main road and become a shopping center of Bali. This traditional market is apposite to the village temple that is one of three biggest temples in Denpasar. It is initially does not as big as like now because have changed experiences and modification which is adapting to the requirement and town growth.
	Badung Traditional Market does not as big as like now because have changed experiences and modification which is adapting to the requirement and town growth. Badung Market cannot be discharged from the existence of an existing market in the cross Badung’s river that is called Kumbasari Market because the local society will feel incompletely go for shopping if they are not come to Kumbasari Market, especially for the Balinese who want to buy the ceremony items."
16,Bali Museum,Denpasar,Culture,4.4,https://maps.app.goo.gl/iQB6hs2sbchhEEzd6,"Rp50,000","Rp100,000",https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F16_museum_bali.jpg?alt=media&token=9687a310-1ee3-4f1a-8efe-572dfaec81bc,"	Bali Museum is one of the museums in Bali collecting the ancient objects related to the history of Bali Island generally. The existence of this museum is very important to preserve the ancient and historical objects that have a noble culture values and a legacy of Balinese ancestors. The object collections which are kept in Bali Museum can be classified become the prehistoric object collection like: the Grave Petrify (sarkopag), the object collection coming from history era like: stupika clay containing superstitious formula Ye Te, the bronze statues (Hindu and Budha statues) and ethnography object collection like Keris, Endek Cloth, and religious ceremony equipments (Sangku, Cecepan and Sidakarya mask).
	In its growth, now Bali Museum have been opened generically and become the tourist destination in Denpasar Town. The construction of The Museum is begun from the idea how does the important to keep, maintain and sustainable the Balinese culture heritages. This initiative was based on sense of worry that there are symptoms such culture erosion, hence the culture heritages have become extinct, lose and leave the photos only.  To save the Balinese culture heritages, come the plan to establish a museum which is now well known as Museum Bali."
17,Campuhan Ridge Walk,Gianyar,Hill,4.4,"https://www.google.com/maps/place/Campuhan+Ridge+Walk/@-8.5036172,115.2547038,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23d6bcaf473f5:0x7c13fd74aa1bc49f!8m2!3d-8.5036172!4d115.2547038!16s%2Fg%2F11bv_dhkhx?authuser=0&hl=en",,,https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F17_campuhan_ridge_walk.jpg?alt=media&token=beb7b584-fc7e-4e0e-b341-bf84396065ea,"	Have you ever experienced a nature stroll around Bali? If you haven't, you need to head over to Campuhan Ridge Walk. This site offers around 2 km distance walk for you to enjoy with its panoramic landscape and tropical foliage. A walking path is built for you to take a morning or late afternoon hike in the middle of its rolling hills.
	A favorite area on this site is the golden spot just around the middle pathway. It showcases grassland, similar to the savanna on Mount Merbabu. There are no trees on either side of the path, only a handful of coconut trees. Many tourists try to capture their best picture right at the golden spot! Located at the heart of Ubud, this Campuhan Ridge Walk is your must-go spot to see greenery."
18,Jatiluwih Rice Terraces,Tabanan,Rice Field,4.7,"https://www.google.com/maps/place/Jatiluwih+Rice+Terraces/@-8.37031,115.131372,17z/data=!3m1!4b1!4m5!3m4!1s0x2dd227ab020cd7fb:0x2f0f875ff3e6839a!8m2!3d-8.37031!4d115.131372","Rp40,000","Rp40,000",https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F18_jatiluwih_rice_terraces.jpg?alt=media&token=e3fbe8f9-fa88-4315-974b-2363d83efc79,"	Jatiluwih Rice Terrace is one of the place of interest in the area of Penebel, Tabanan. Jatiluwih famous for its natural beauty with terraced rice fields which neatly. In this place also you will see beautiful mountain scenery named Batukaru Mountain. Jatiluwih Rice Terrace is a favorite tourist destination in Bali famous with the beautiful rice terrace unfolding from the foot of mountain until the coastal side. It is one of places to visit in Bali with the beautiful view as according to its name from Jati and luwih, where Jati mean really and Luwih meaning especial, good, and beautiful or the equivalent.
	The local paddies are planted in this place look typically of the high relative size plant if it is compared with other pre-eminent paddy planted by most farmers in Bali. Despitefully, Jatiluwih also famous with its organic agriculture system due to the location is located in the in the plateau of Watukaru Mount which is suitable for the agriculture development. Jatiluwih rice cultivation has an area of approximately 636 ha. And this Jatiluwih rice field located at an altitude of 700 meters above sea level. This area is a suitable place to visit for the one who missed the Mountain fresh air and the natural panorama as a place to soothe the mind, because of the beautiful place that is still natural with fresh air."
19,Eka Karya Botanic Garden,Tabanan,Garden,4.6,https://maps.app.goo.gl/zDDmR8GtwYHFrz118,"Rp20,000","Rp30,000",https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F19_eka_karya_botanic_garden.jpg?alt=media&token=ade2eea7-1d1d-4b27-a80f-6272ea1a50da,"	Bedugul Botanical Garden is officialy known as a Kebun Raya Eka Karya Bali. Eka Karya refers to this being the first Botanic Garden which has been established following indonesian independence and thus to first to have been established entirely by Indonesian. Bedugul Botanical Garden is located in at bedugul village, baturiti district, tabanan regency, 1240 meters above sea level, it is about 62 km from denpasar and can be reach by motorcycle as the road are fairly goods.
	Bali botanical garden is unique in Bali as a place for botanical research, conservations, recreation, and educations, it provide a place where you can relax in beautiful an peaceful surrounds while learning about the function of plants in the daily life of Balinese as well as some interesting rain forest plantations and birdlife. Within Bali Botanical Garden you can see many places of interest such as : Orchid, Traditional Balinese House, Fern Park, Ceremonial Plants Collection, Medical Plants, Collection, Tree Collection, Rose Park, Catus, Hindu Temple, Bali Treetop Adventure Park.
Beside of the crop collections, Bedugul Botanical Garden or Kebun Raya Eka Karya also owns the traditional Balinese houses and it function as guest house for scientist who is doing observation. It is also opened for public including tourists and to be one of favorite tourist destinations in Bali especially for domestic tourists."
20,Bali Butterfly Park,Tabanan,Wildlife,4.4,https://maps.app.goo.gl/w7s5LWfBrRXnEiKV6,"Rp50,000","Rp100,000",https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F20_Bali_butterfly_park.jpg?alt=media&token=346562ec-6603-4d51-8355-120c62c761c1,"	The butterfly park is a convenient stopover on excursions to the island’s northern region via Tabanan. Here, visiting families will experience an educational and inspiring tour to see hundreds of butterflies from the 15 known species that thrive in Indonesia’s tropics, as well as various other insects and arachnids in extensive and informative displays. Besides the many live specimens that are bred at the park, there are also collections of dried butterfly and insect specimens (butterflies have varying but naturally short life spans) which can also be souvenirs, set in glass frames.
	Visitors will have the opportunity to see up close, colourful and protected specimens, such as the common birdwing (Troides helena) and the Bali peacock (Papilio peranthus) and the majestic paradise birdwing (Ornithoptera paradisea). Unique and odd-looking stick insects, leaf insects, scorpions, large hairy spiders and various beetles are displayed in glass cases. Various species from all over the Indonesian archipelago are collected in one convenient park. An interesting and very educational part of the tour is the opportunity for youngsters to see closely the many stages of the metamorphoses of different species, from egg, larvae and pupae, to cocoon and large life-size butterflies. The butterfly park serves as an ex-situ conservation site and preserves several endangered species in its collection. It also serves as a research centre for national and international researchers and academics."
21,Kerta Gosa Hall,Klungkung,Historical Landmark,4.5,https://maps.app.goo.gl/hWGgis9wuw9hPFNZ6,"Rp25,000","Rp50,000",https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F21_kerta_gosa.jpg?alt=media&token=76fd8720-a4e9-45db-a5ed-bb0302c147b6,"	Kerta Gosa is a beautiful historical site situated in the heart of Semarapura Town, about 40 km east side of Denpasar City. The name of Kerta Gosa is taken from Sanskrit where Kerta means serene and meanwhile Gosa word is derive from Gosita that mean established or announced. Thus the meaning of Kerta Gosa is a kind of Bale building where the king announces Judicial Legislation, justice, punishment and so on. Beside of Kerta Gosa, there is a building called by Taman Gili which is located adjacent to Bale Kembang that is a traditional building floating in the center of fish pond.
	Kerta Gosa and Taman Gili Building can not be separated with the establishment of Semara Pura Palace. The Semara Pura Palace is established by I Dewa Agung Djambe, the first king of Klungkung around 1686. The painting that decorate Kerta Gosa ceiling are the painting with the story motif like Ni Diah Tantri, Bima Swarga, Garuda and Palelindon those are arranged in form of panels with 9 levels. The paintings are begun from the east panel with the story in the direction of circumambulation (turning to the right as clockwise) and finish at the north panel."
22,Teletubbies Hill,Klungkung,Hill,4.1,https://maps.app.goo.gl/U3y1n22TbgKqoWiG7,"Rp10,000","Rp10,000",https://firebasestorage.googleapis.com/v0/b/melanc0ng.appspot.com/o/destinations%2F22_teletubbies_hill_penida_bali.jpg?alt=media&token=419af4b1-2f2d-480f-9194-eae2d21c81be,"	Teletubbies Hill is a gorgeous remote spot on Nusa Penida, where you can get an eye-opening look at the local life of the people on the island all while admiring the rolling hills and lush (depending on when you come) greenery. Teletubbies Hill (also known as Bukit Teletubbies – the word “Bukit” means “hill” in Bahasa Indonesia) is a charming site on the island of Nusa Penida, off the coast of mainland Bali. It takes its name from the famous children’s show and while it’s not the same hill as the one seen in the show, it’s a lovely place to capture some memories on this small island in the Indian Ocean.
	We have a simple rule in Bali, if you want to visit anywhere that’s popular with tourists, the best time to go is early in the morning as you will avoid the crowds. However, this isn’t always easy on Nusa Penida, particularly if you’re on a day trip, which is why we always recommend spending, at least, 2 or 3 days on the island and also visiting Nusa Lembongan when you do. There is no bad time of year to visit Bali, though, and in fact, you might prefer to see the Teletubbies Hill in the rainy season as that’s when the land is at its greenest and most verdant. Don’t worry it doesn’t rain all day in the rainy season, in fact, we see over 8 hours of sunshine a day throughout that time of year on average"
